year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2021,Coffee County,Alabama,53043,26357,26686,98.8,3212,3017,4192,3450,3009,6662,6875,7043,3158,3461,5419,2760,785,39.1,12672,41953,40371,38647,10937,8964,40371,19781,20590,96.1,8964,4026,4938,81.5,53043,50145,2898,50145,39137,8992,443,29,0,0,0,762,7,1,31,355,62,14,170,124,30,6,0,0,0,6,805,2898,996,702,344,162,53043,41791,10235,1369,1202,91,1374,53043,4282,1741,1315,208,1018,48761,36675,8579,363,762,6,66,2310,56,2254,23934,39280,19363,19917
2021,Colbert County,Alabama,56789,27602,29187,94.6,3182,3283,3601,3233,3100,7039,6666,7442,3948,4158,6509,3596,1032,42.1,12042,46062,44747,42791,13914,11137,44747,21296,23451,90.8,11137,4804,6333,75.9,56789,55487,1302,55487,44400,9301,205,100,0,0,0,256,98,1,33,4,36,14,29,20,55,49,35,14,0,0,1276,1302,280,511,147,19,56789,45644,9662,787,484,58,1535,56789,1750,1205,66,65,414,55039,44172,9255,197,256,49,83,1027,19,1008,27496,44242,21078,23164
2021,Conecuh County,Alabama,11778,5751,6027,95.4,508,608,939,682,376,1565,1170,1432,634,1176,1619,840,229,45.4,2451,9697,9327,8961,3458,2688,9327,4427,4900,90.3,2688,1232,1456,84.6,11778,11657,121,11657,5901,5664,23,12,0,0,0,44,0,1,35,0,44,0,0,0,0,0,0,0,0,0,25,121,9,46,53,0,11778,6009,5686,69,110,0,25,11778,16,0,0,0,16,11762,5901,5664,23,44,0,17,113,0,113,6469,9319,4419,4900
2021,Coosa County,Alabama,10442,5426,5016,108.2,465,313,559,543,397,992,1266,1512,1013,906,1579,685,212,49.8,1696,8948,8746,8447,2984,2476,8746,4373,4373,100.0,2476,1157,1319,87.7,10442,10236,206,10236,6911,3204,42,12,0,0,15,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,79,206,9,76,20,2,10442,7115,3221,126,20,0,172,10442,274,129,68,0,77,10168,6690,3204,27,0,0,62,185,72,113,6064,8718,4345,4373
2021,Covington County,Alabama,37490,18264,19226,95.0,2120,2294,2450,2263,1942,4257,4111,4682,2683,2843,4423,2298,1124,42.9,8334,30100,29156,27891,9630,7845,29156,13866,15290,90.7,7845,3423,4422,77.4,37490,36706,784,36706,31511,4621,126,107,0,0,0,230,59,1,39,4,16,88,0,1,62,32,0,0,0,32,186,784,328,324,24,4,37490,32280,4988,484,271,32,249,37490,693,423,15,0,255,36797,31060,4621,126,188,32,34,736,26,710,18627,28960,13803,15157
2021,Crenshaw County,Alabama,13300,6458,6842,94.4,726,817,932,801,743,1611,1512,1629,833,1134,1580,697,285,42.1,3030,10631,10270,9885,3354,2562,10270,4960,5310,93.4,2562,1124,1438,78.2,13300,12851,449,12851,9392,3258,21,0,0,0,0,174,87,1,41,0,30,0,57,0,0,5,0,5,0,0,1,449,278,132,5,4,13300,9833,3544,157,179,5,31,13300,111,8,67,0,36,13189,9340,3208,17,174,5,0,445,26,419,6544,10162,4863,5299
2021,Cullman County,Alabama,87129,43137,43992,98.1,5290,5252,5688,5541,4795,10633,10543,11457,6248,5815,9543,5126,1198,41.2,19683,69798,67446,64204,19390,15867,67446,33225,34221,97.1,15867,7218,8649,83.5,87129,83933,3196,83933,80852,979,404,86,0,0,0,311,0,1,43,24,99,111,47,30,0,9,9,0,0,0,1378,3196,485,779,254,9,87129,83930,1561,1253,695,90,2897,87129,3939,2985,199,116,639,83190,79371,978,290,311,9,41,2190,581,1609,38859,66380,32635,33745
2021,Dale County,Alabama,49443,24632,24811,99.3,3210,3218,3091,3036,3282,6879,5963,5918,3306,3134,5055,2601,750,37.9,11411,39213,38032,36282,10244,8406,38032,18754,19278,97.3,8406,3890,4516,86.1,49443,47546,1897,47546,34987,10236,445,113,2,0,0,696,28,1,45,32,162,143,120,8,203,16,12,0,0,4,1166,1897,584,415,313,115,49443,36723,11017,1019,1106,84,1476,49443,3400,1770,1073,58,499,46043,33322,9979,299,598,16,259,1570,118,1452,22790,37345,18477,18868
2021,Dallas County,Alabama,39162,18136,21026,86.3,2397,2639,2700,2798,2309,4445,4405,4563,2782,2963,4400,2062,699,39.7,9448,30789,29714,27942,8593,7161,29714,13287,16427,80.9,7161,3040,4121,73.8,39162,38943,219,38943,10543,28083,62,1,0,0,0,249,76,1,47,0,0,0,0,134,39,0,0,0,0,0,6,219,55,105,0,24,39162,10723,28197,211,264,0,6,39162,52,24,6,0,22,39110,10534,28040,62,249,0,6,219,0,219,19037,29546,13204,16342
2021,DeKalb County,Alabama,71554,35626,35928,99.2,4209,4350,5696,4841,4172,8328,8931,9411,4602,4886,7466,3421,1241,39.7,17421,56358,54133,51686,15000,12128,54133,26715,27418,97.4,12128,5529,6599,83.8,71554,68453,3101,68453,59870,1114,674,273,48,2,0,60,3,1,49,0,36,5,0,0,16,46,11,6,0,29,6689,3101,240,1431,73,0,71554,62866,1507,2190,133,59,7977,71554,10838,6151,40,114,4533,60716,56982,1114,393,55,46,282,1844,32,1812,30647,49814,24350,25464
2021,Elmore County,Alabama,87146,42451,44695,95.0,4892,5413,5530,5830,5109,12077,11256,11776,6235,5518,8366,4125,1019,39.0,19467,69987,67679,64760,17031,13510,67679,32347,35332,91.6,13510,6123,7387,82.9,87146,85011,2135,85011,65060,18150,314,94,0,0,22,857,0,1,51,138,156,40,130,0,393,0,0,0,0,0,630,2135,914,453,66,45,87146,67069,19175,845,982,6,1275,87146,2679,1858,209,14,598,84467,63634,18060,278,857,0,50,1588,104,1484,36425,66587,31798,34789
2021,Escambia County,Alabama,36879,18864,18015,104.7,2112,2106,2708,2504,1733,4930,4715,4553,2422,2473,3832,2056,735,39.9,8360,29427,28519,27182,7891,6623,28519,14600,13919,104.9,6623,2810,3813,73.7,36879,35747,1132,35747,22707,11503,1189,100,0,0,0,92,0,1,53,70,8,0,0,0,14,0,0,0,0,0,256,1132,117,407,2,44,36879,23766,12049,2034,112,15,417,36879,926,768,68,0,90,35953,22110,11474,1189,92,0,83,1005,44,961,16672,28438,14526,13912
2021,Etowah County,Alabama,103468,50109,53359,93.9,6028,5991,6372,6212,6307,12247,12633,13984,6704,7419,11985,5793,1793,41.5,22430,83562,81038,77520,24277,19571,81038,38700,42338,91.4,19571,8539,11032,77.4,103468,100054,3414,100054,81042,16094,356,38,0,7,0,692,86,1,55,101,236,25,1,56,187,2,0,0,0,2,1868,3414,1007,846,258,59,103468,84239,17448,1404,984,7,3010,103468,4416,2376,437,151,1452,99052,79746,15851,190,692,2,198,2373,140,2233,47329,79746,38071,41675
2021,Fayette County,Alabama,16365,8141,8224,99.0,904,934,1055,1070,904,1825,1749,2067,1213,1214,2006,1005,419,43.6,3492,13330,12873,12117,4014,3430,12873,6263,6610,94.8,3430,1528,1902,80.3,16365,15981,384,15981,13773,2086,26,0,0,0,0,72,24,1,57,0,11,19,0,8,10,8,0,8,0,0,16,384,186,87,4,22,16365,14105,2328,139,106,8,67,16365,89,79,0,0,10,16276,13722,2086,26,72,8,16,346,51,295,7836,12834,6253,6581
2021,Franklin County,Alabama,32034,15892,16142,98.5,2312,1900,2543,2176,1734,4029,3887,4123,1990,2061,3062,1621,596,39.0,8098,24725,23936,22685,6526,5279,23936,11829,12107,97.7,5279,2343,2936,79.8,32034,31205,829,31205,25008,1401,323,34,0,0,0,85,22,1,59,15,14,0,34,0,0,5,5,0,0,0,4383,829,93,296,20,0,32034,25819,1503,636,137,17,4768,32034,5825,3324,107,132,2262,26209,24284,1373,60,85,5,13,389,0,389,13930,22384,10973,11411
2021,Geneva County,Alabama,26604,13083,13521,96.8,1454,2181,1269,1622,1264,2973,3005,3613,2001,1904,3114,1509,695,43.3,5903,21312,20701,19893,6285,5318,20701,10021,10680,93.8,5318,2398,2920,82.1,26604,25973,631,25973,22410,2558,155,74,0,0,0,160,0,1,61,0,4,5,151,0,0,8,0,0,0,8,682,631,109,267,0,0,26604,23027,2672,444,160,142,798,26604,1134,853,114,70,97,25470,21692,2464,140,160,8,474,532,16,516,12495,20544,9925,10619
2021,Greene County,Alabama,7851,3773,4078,92.5,539,532,384,405,457,1013,703,783,608,631,1143,490,163,44.0,1729,6241,6122,5986,2262,1796,6122,2874,3248,88.5,1796,776,1020,76.1,7851,7638,213,7638,1381,6217,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,40,213,0,0,43,0,7851,1594,6387,170,43,0,40,7851,201,43,148,0,10,7650,1368,6217,0,0,0,0,65,0,65,4303,6112,2874,3238
2021,Hale County,Alabama,14819,7070,7749,91.2,979,1379,540,973,858,1914,1510,1640,1183,968,1708,759,408,41.0,3473,11725,11346,10821,3476,2875,11346,5251,6095,86.2,2875,1278,1597,80.0,14819,14491,328,14491,5681,8740,0,0,0,0,0,46,0,1,65,0,0,0,46,0,0,0,0,0,0,0,24,328,125,0,0,0,14819,5990,8884,0,46,0,227,14819,11,0,0,0,11,14808,5681,8740,0,46,0,24,317,192,125,7422,11334,5251,6083
2021,Henry County,Alabama,17165,8195,8970,91.4,850,1010,1136,1049,918,1581,2116,2211,1248,1198,2361,1090,397,44.6,3593,14023,13572,12837,4592,3848,13572,6513,7059,92.3,3848,1705,2143,79.6,17165,16814,351,16814,12019,4565,34,0,0,5,0,65,30,1,67,0,0,0,0,35,0,20,20,0,0,0,111,351,64,25,6,0,17165,12370,4629,62,91,40,347,17165,470,267,137,47,19,16695,11887,4529,34,65,20,0,160,45,115,9057,13533,6476,7057
2021,Houston County,Alabama,106355,51243,55112,93.0,6512,6333,7364,6667,5920,13617,13287,13505,7118,7103,11254,5640,2035,40.4,24627,84532,81728,77933,22957,18929,81728,38440,43288,88.8,18929,8244,10685,77.2,106355,102784,3571,102784,71690,29036,222,76,4,6,0,981,256,1,69,143,73,42,134,193,140,40,0,5,0,35,815,3571,1016,782,341,46,106355,74980,30379,1284,1550,136,1927,106355,3698,2242,515,185,756,102657,69415,28864,188,971,18,442,2759,400,2359,48940,80621,37810,42811
2021,Jackson County,Alabama,52548,25952,26596,97.6,2708,3054,3331,2995,2751,6070,6382,6938,3810,3943,6370,3350,846,43.2,11083,42775,41465,39844,12963,10566,41465,20169,21296,94.7,10566,4730,5836,81.0,52548,50727,1821,50727,47494,1860,464,335,0,0,0,181,0,1,71,7,31,19,35,85,4,20,14,1,4,1,708,1821,201,1131,135,8,52548,49212,2170,1655,362,43,979,52548,1650,1104,183,13,350,50898,46732,1826,464,181,20,75,1600,50,1550,24666,41032,19945,21087
2021,Jefferson County,Alabama,672550,319422,353128,90.5,42432,42974,43886,42546,41803,96417,86463,81644,42148,45499,65129,29311,12298,37.9,154796,535421,517754,491170,133553,106738,517754,240652,277102,86.8,106738,44936,61802,72.7,672550,655062,17488,655062,342157,288344,1059,307,0,4,27,11340,3792,1,73,2844,859,353,1055,717,1720,154,69,4,22,59,12008,17488,4734,2717,2027,938,672550,356989,295812,5542,14612,579,17838,672550,27241,16709,2478,570,7484,645309,330804,287570,662,11219,154,2049,12851,1545,11306,307607,503648,232769,270879
2021,Lamar County,Alabama,13929,6913,7016,98.5,812,638,992,832,707,1478,1616,1811,945,1061,1636,1041,360,44.6,3023,11189,10906,10476,3683,3037,10906,5300,5606,94.5,3037,1359,1678,81.0,13929,13699,230,13699,12098,1549,3,0,0,0,0,18,0,1,75,0,15,0,0,0,3,0,0,0,0,0,31,230,138,89,3,0,13929,12328,1687,92,21,0,31,13929,143,124,0,0,19,13786,11975,1549,3,18,0,11,230,0,230,7104,10840,5261,5579
2021,Lauderdale County,Alabama,93342,45052,48290,93.3,4742,5191,5358,6040,7667,10987,10490,11563,6872,5957,10787,5747,1941,40.7,18552,76556,74790,69980,22059,18475,74790,35514,39276,90.4,18475,8113,10362,78.3,93342,90061,3281,90061,79364,9320,353,105,0,0,15,471,45,1,77,228,46,52,31,21,48,80,17,29,0,34,473,3281,798,569,460,0,93342,82592,10214,950,976,88,1897,93342,2698,1914,192,270,322,90644,78237,9076,262,471,80,143,2375,539,1836,44528,73442,34894,38548
2021,Lawrence County,Alabama,33089,16031,17058,94.0,1703,1911,2448,1840,1854,3869,3797,4704,2532,2429,3620,1762,620,42.8,7242,26735,25847,24852,7117,6002,25847,12472,13375,93.2,6002,2672,3330,80.2,33089,31109,1980,31109,25519,3453,1772,1429,0,0,0,50,2,1,79,0,8,12,0,0,28,16,16,0,0,0,299,1980,105,1243,95,223,33089,27271,3798,3256,145,16,600,33089,797,465,144,3,185,32292,25223,3451,1772,50,16,11,1769,90,1679,15220,25673,12429,13244
2021,Lee County,Alabama,172223,85087,87136,97.6,9776,9255,11439,14704,21596,24186,21069,20162,9745,9159,13545,5375,2212,33.0,36606,139631,135617,120751,26650,21132,135617,66167,69450,95.3,21132,9594,11538,83.2,172223,167097,5126,167097,119332,38498,236,103,0,0,0,7556,909,1,81,1874,168,117,3680,352,456,0,0,0,0,0,1475,5126,1774,850,453,249,172223,124072,41190,1722,8313,74,2625,172223,6547,3088,927,384,2148,165676,115552,38004,224,7396,0,440,4060,256,3804,73557,130147,63366,66781
